day,status,count
2009-05-20T22:09:08.216000+00:00,Open,13
2009-05-21T22:09:08.216000+00:00,Resolved,19
2009-05-21T22:09:08.216000+00:00,In Progress,1
2009-05-21T22:09:08.216000+00:00,Patch Available,2
2009-05-21T22:09:08.216000+00:00,Reopened,0
2009-05-21T22:09:08.216000+00:00,Closed,0
2009-05-21T22:09:08.216000+00:00,Open,12
2009-05-22T22:09:08.216000+00:00,Resolved,23
2009-05-22T22:09:08.216000+00:00,In Progress,0
2009-05-22T22:09:08.216000+00:00,Patch Available,1
2009-05-22T22:09:08.216000+00:00,Reopened,0
2009-05-22T22:09:08.216000+00:00,Closed,0
2009-05-22T22:09:08.216000+00:00,Open,12
2009-05-23T22:09:08.216000+00:00,Resolved,22
2009-05-23T22:09:08.216000+00:00,In Progress,0
2009-05-23T22:09:08.216000+00:00,Patch Available,2
2009-05-23T22:09:08.216000+00:00,Reopened,1
2009-05-23T22:09:08.216000+00:00,Closed,0
2009-05-23T22:09:08.216000+00:00,Open,12
2009-05-24T22:09:08.216000+00:00,Resolved,22
2009-05-24T22:09:08.216000+00:00,In Progress,0
2009-05-24T22:09:08.216000+00:00,Patch Available,2
2009-05-24T22:09:08.216000+00:00,Reopened,1
2009-05-24T22:09:08.216000+00:00,Closed,0
2009-05-24T22:09:08.216000+00:00,Open,12
2009-05-25T22:09:08.216000+00:00,Resolved,22
2009-05-25T22:09:08.216000+00:00,In Progress,0
2009-05-25T22:09:08.216000+00:00,Patch Available,2
2009-05-25T22:09:08.216000+00:00,Reopened,1
2009-05-25T22:09:08.216000+00:00,Closed,0
2009-05-25T22:09:08.216000+00:00,Open,12
2009-05-26T22:09:08.216000+00:00,Resolved,24
2009-05-26T22:09:08.216000+00:00,In Progress,0
2009-05-26T22:09:08.216000+00:00,Patch Available,1
2009-05-26T22:09:08.216000+00:00,Reopened,1
2009-05-26T22:09:08.216000+00:00,Closed,0
2009-05-26T22:09:08.216000+00:00,Open,12
2009-05-27T22:09:08.216000+00:00,Resolved,25
2009-05-27T22:09:08.216000+00:00,In Progress,1
2009-05-27T22:09:08.216000+00:00,Patch Available,1
2009-05-27T22:09:08.216000+00:00,Reopened,1
2009-05-27T22:09:08.216000+00:00,Closed,0
2009-05-27T22:09:08.216000+00:00,Open,11
2009-05-28T22:09:08.216000+00:00,Resolved,25
2009-05-28T22:09:08.216000+00:00,In Progress,1
2009-05-28T22:09:08.216000+00:00,Patch Available,1
2009-05-28T22:09:08.216000+00:00,Reopened,1
2009-05-28T22:09:08.216000+00:00,Closed,0
2009-05-28T22:09:08.216000+00:00,Open,11
2009-05-29T22:09:08.216000+00:00,Resolved,25
2009-05-29T22:09:08.216000+00:00,In Progress,0
2009-05-29T22:09:08.216000+00:00,Patch Available,2
2009-05-29T22:09:08.216000+00:00,Reopened,1
2009-05-29T22:09:08.216000+00:00,Closed,0
2009-05-29T22:09:08.216000+00:00,Open,11
2009-05-30T22:09:08.216000+00:00,Resolved,25
2009-05-30T22:09:08.216000+00:00,In Progress,0
2009-05-30T22:09:08.216000+00:00,Patch Available,2
2009-05-30T22:09:08.216000+00:00,Reopened,1
2009-05-30T22:09:08.216000+00:00,Closed,0
2009-05-30T22:09:08.216000+00:00,Open,11
2009-05-31T22:09:08.216000+00:00,Resolved,25
2009-05-31T22:09:08.216000+00:00,In Progress,0
2009-05-31T22:09:08.216000+00:00,Patch Available,2
2009-05-31T22:09:08.216000+00:00,Reopened,1
2009-05-31T22:09:08.216000+00:00,Closed,0
2009-05-31T22:09:08.216000+00:00,Open,12
2009-06-01T22:09:08.216000+00:00,Resolved,25
2009-06-01T22:09:08.216000+00:00,In Progress,0
2009-06-01T22:09:08.216000+00:00,Patch Available,3
2009-06-01T22:09:08.216000+00:00,Reopened,1
2009-06-01T22:09:08.216000+00:00,Closed,0
2009-06-01T22:09:08.216000+00:00,Open,12
2009-06-02T22:09:08.216000+00:00,Resolved,29
2009-06-02T22:09:08.216000+00:00,In Progress,0
2009-06-02T22:09:08.216000+00:00,Patch Available,1
2009-06-02T22:09:08.216000+00:00,Reopened,1
2009-06-02T22:09:08.216000+00:00,Closed,0
2009-06-02T22:09:08.216000+00:00,Open,13
2009-06-03T22:09:08.216000+00:00,Resolved,32
2009-06-03T22:09:08.216000+00:00,In Progress,0
2009-06-03T22:09:08.216000+00:00,Patch Available,1
2009-06-03T22:09:08.216000+00:00,Reopened,1
2009-06-03T22:09:08.216000+00:00,Closed,0
2009-06-03T22:09:08.216000+00:00,Open,12
2009-06-04T22:09:08.216000+00:00,Resolved,32
2009-06-04T22:09:08.216000+00:00,In Progress,0
2009-06-04T22:09:08.216000+00:00,Patch Available,1
2009-06-04T22:09:08.216000+00:00,Reopened,1
2009-06-04T22:09:08.216000+00:00,Closed,0
2009-06-04T22:09:08.216000+00:00,Open,12
2009-06-05T22:09:08.216000+00:00,Resolved,34
2009-06-05T22:09:08.216000+00:00,In Progress,0
2009-06-05T22:09:08.216000+00:00,Patch Available,0
2009-06-05T22:09:08.216000+00:00,Reopened,0
2009-06-05T22:09:08.216000+00:00,Closed,0
2009-06-05T22:09:08.216000+00:00,Open,13
2009-06-06T22:09:08.216000+00:00,Resolved,34
2009-06-06T22:09:08.216000+00:00,In Progress,0
2009-06-06T22:09:08.216000+00:00,Patch Available,1
2009-06-06T22:09:08.216000+00:00,Reopened,0
2009-06-06T22:09:08.216000+00:00,Closed,0
2009-06-06T22:09:08.216000+00:00,Open,13
2009-06-07T22:09:08.216000+00:00,Resolved,34
2009-06-07T22:09:08.216000+00:00,In Progress,0
2009-06-07T22:09:08.216000+00:00,Patch Available,1
2009-06-07T22:09:08.216000+00:00,Reopened,0
2009-06-07T22:09:08.216000+00:00,Closed,0
2009-06-07T22:09:08.216000+00:00,Open,13
2009-06-08T22:09:08.216000+00:00,Resolved,35
2009-06-08T22:09:08.216000+00:00,In Progress,0
2009-06-08T22:09:08.216000+00:00,Patch Available,0
2009-06-08T22:09:08.216000+00:00,Reopened,0
2009-06-08T22:09:08.216000+00:00,Closed,0
2009-06-08T22:09:08.216000+00:00,Open,13
2009-06-09T22:09:08.216000+00:00,Resolved,35
2009-06-09T22:09:08.216000+00:00,In Progress,0
2009-06-09T22:09:08.216000+00:00,Patch Available,0
2009-06-09T22:09:08.216000+00:00,Reopened,0
2009-06-09T22:09:08.216000+00:00,Closed,0
2009-06-09T22:09:08.216000+00:00,Open,13
2009-06-10T22:09:08.216000+00:00,Resolved,35
2009-06-10T22:09:08.216000+00:00,In Progress,0
2009-06-10T22:09:08.216000+00:00,Patch Available,0
2009-06-10T22:09:08.216000+00:00,Reopened,0
2009-06-10T22:09:08.216000+00:00,Closed,0
2009-06-10T22:09:08.216000+00:00,Open,14
2009-06-11T22:09:08.216000+00:00,Resolved,35
2009-06-11T22:09:08.216000+00:00,In Progress,0
2009-06-11T22:09:08.216000+00:00,Patch Available,0
2009-06-11T22:09:08.216000+00:00,Reopened,0
2009-06-11T22:09:08.216000+00:00,Closed,0
2009-06-11T22:09:08.216000+00:00,Open,14
2009-06-12T22:09:08.216000+00:00,Resolved,35
2009-06-12T22:09:08.216000+00:00,In Progress,0
2009-06-12T22:09:08.216000+00:00,Patch Available,0
2009-06-12T22:09:08.216000+00:00,Reopened,0
2009-06-12T22:09:08.216000+00:00,Closed,0
2009-06-12T22:09:08.216000+00:00,Open,14
2009-06-13T22:09:08.216000+00:00,Resolved,35
2009-06-13T22:09:08.216000+00:00,In Progress,0
2009-06-13T22:09:08.216000+00:00,Patch Available,0
2009-06-13T22:09:08.216000+00:00,Reopened,0
2009-06-13T22:09:08.216000+00:00,Closed,0
2009-06-13T22:09:08.216000+00:00,Open,17
2009-06-14T22:09:08.216000+00:00,Resolved,35
2009-06-14T22:09:08.216000+00:00,In Progress,0
2009-06-14T22:09:08.216000+00:00,Patch Available,0
2009-06-14T22:09:08.216000+00:00,Reopened,0
2009-06-14T22:09:08.216000+00:00,Closed,0
2009-06-14T22:09:08.216000+00:00,Open,17
2009-06-15T22:09:08.216000+00:00,Resolved,36
2009-06-15T22:09:08.216000+00:00,In Progress,0
2009-06-15T22:09:08.216000+00:00,Patch Available,0
2009-06-15T22:09:08.216000+00:00,Reopened,0
2009-06-15T22:09:08.216000+00:00,Closed,0
2009-06-15T22:09:08.216000+00:00,Open,16
2009-06-16T22:09:08.216000+00:00,Resolved,36
2009-06-16T22:09:08.216000+00:00,In Progress,0
2009-06-16T22:09:08.216000+00:00,Patch Available,0
2009-06-16T22:09:08.216000+00:00,Reopened,0
2009-06-16T22:09:08.216000+00:00,Closed,0
2009-06-16T22:09:08.216000+00:00,Open,18
2009-06-17T22:09:08.216000+00:00,Resolved,37
2009-06-17T22:09:08.216000+00:00,In Progress,0
2009-06-17T22:09:08.216000+00:00,Patch Available,0
2009-06-17T22:09:08.216000+00:00,Reopened,0
2009-06-17T22:09:08.216000+00:00,Closed,0
2009-06-17T22:09:08.216000+00:00,Open,17
2009-06-18T22:09:08.216000+00:00,Resolved,38
2009-06-18T22:09:08.216000+00:00,In Progress,0
2009-06-18T22:09:08.216000+00:00,Patch Available,0
2009-06-18T22:09:08.216000+00:00,Reopened,0
2009-06-18T22:09:08.216000+00:00,Closed,0
2009-06-18T22:09:08.216000+00:00,Open,17
2009-06-19T22:09:08.216000+00:00,Resolved,39
2009-06-19T22:09:08.216000+00:00,In Progress,0
2009-06-19T22:09:08.216000+00:00,Patch Available,1
2009-06-19T22:09:08.216000+00:00,Reopened,0
2009-06-19T22:09:08.216000+00:00,Closed,0
2009-06-19T22:09:08.216000+00:00,Open,17
2009-06-20T22:09:08.216000+00:00,Resolved,39
2009-06-20T22:09:08.216000+00:00,In Progress,0
2009-06-20T22:09:08.216000+00:00,Patch Available,2
2009-06-20T22:09:08.216000+00:00,Reopened,0
2009-06-20T22:09:08.216000+00:00,Closed,0
2009-06-20T22:09:08.216000+00:00,Open,18
2009-06-21T22:09:08.216000+00:00,Resolved,39
2009-06-21T22:09:08.216000+00:00,In Progress,0
2009-06-21T22:09:08.216000+00:00,Patch Available,2
2009-06-21T22:09:08.216000+00:00,Reopened,0
2009-06-21T22:09:08.216000+00:00,Closed,0
2009-06-21T22:09:08.216000+00:00,Open,18
2009-06-22T22:09:08.216000+00:00,Resolved,39
2009-06-22T22:09:08.216000+00:00,In Progress,0
2009-06-22T22:09:08.216000+00:00,Patch Available,3
2009-06-22T22:09:08.216000+00:00,Reopened,0
2009-06-22T22:09:08.216000+00:00,Closed,0
2009-06-22T22:09:08.216000+00:00,Open,17
2009-06-23T22:09:08.216000+00:00,Resolved,44
2009-06-23T22:09:08.216000+00:00,In Progress,0
2009-06-23T22:09:08.216000+00:00,Patch Available,1
2009-06-23T22:09:08.216000+00:00,Reopened,0
2009-06-23T22:09:08.216000+00:00,Closed,0
2009-06-23T22:09:08.216000+00:00,Open,15
2009-06-24T22:09:08.216000+00:00,Resolved,44
2009-06-24T22:09:08.216000+00:00,In Progress,0
2009-06-24T22:09:08.216000+00:00,Patch Available,2
2009-06-24T22:09:08.216000+00:00,Reopened,0
2009-06-24T22:09:08.216000+00:00,Closed,0
2009-06-24T22:09:08.216000+00:00,Open,15
2009-06-25T22:09:08.216000+00:00,Resolved,47
2009-06-25T22:09:08.216000+00:00,In Progress,1
2009-06-25T22:09:08.216000+00:00,Patch Available,1
2009-06-25T22:09:08.216000+00:00,Reopened,0
2009-06-25T22:09:08.216000+00:00,Closed,0
2009-06-25T22:09:08.216000+00:00,Open,14
2009-06-26T22:09:08.216000+00:00,Resolved,48
2009-06-26T22:09:08.216000+00:00,In Progress,1
2009-06-26T22:09:08.216000+00:00,Patch Available,1
2009-06-26T22:09:08.216000+00:00,Reopened,0
2009-06-26T22:09:08.216000+00:00,Closed,0
2009-06-26T22:09:08.216000+00:00,Open,13
2009-06-27T22:09:08.216000+00:00,Resolved,48
2009-06-27T22:09:08.216000+00:00,In Progress,1
2009-06-27T22:09:08.216000+00:00,Patch Available,1
2009-06-27T22:09:08.216000+00:00,Reopened,0
2009-06-27T22:09:08.216000+00:00,Closed,0
2009-06-27T22:09:08.216000+00:00,Open,13
2009-06-28T22:09:08.216000+00:00,Resolved,48
2009-06-28T22:09:08.216000+00:00,In Progress,1
2009-06-28T22:09:08.216000+00:00,Patch Available,1
2009-06-28T22:09:08.216000+00:00,Reopened,0
2009-06-28T22:09:08.216000+00:00,Closed,0
2009-06-28T22:09:08.216000+00:00,Open,13
2009-06-29T22:09:08.216000+00:00,Resolved,48
2009-06-29T22:09:08.216000+00:00,In Progress,1
2009-06-29T22:09:08.216000+00:00,Patch Available,1
2009-06-29T22:09:08.216000+00:00,Reopened,0
2009-06-29T22:09:08.216000+00:00,Closed,0
2009-06-29T22:09:08.216000+00:00,Open,15
2009-06-30T22:09:08.216000+00:00,Resolved,49
2009-06-30T22:09:08.216000+00:00,In Progress,1
2009-06-30T22:09:08.216000+00:00,Patch Available,1
2009-06-30T22:09:08.216000+00:00,Reopened,0
2009-06-30T22:09:08.216000+00:00,Closed,0
2009-06-30T22:09:08.216000+00:00,Open,16
2009-07-01T22:09:08.216000+00:00,Resolved,51
2009-07-01T22:09:08.216000+00:00,In Progress,1
2009-07-01T22:09:08.216000+00:00,Patch Available,1
2009-07-01T22:09:08.216000+00:00,Reopened,0
2009-07-01T22:09:08.216000+00:00,Closed,0
2009-07-01T22:09:08.216000+00:00,Open,14
2009-07-02T22:09:08.216000+00:00,Resolved,51
2009-07-02T22:09:08.216000+00:00,In Progress,1
2009-07-02T22:09:08.216000+00:00,Patch Available,1
2009-07-02T22:09:08.216000+00:00,Reopened,0
2009-07-02T22:09:08.216000+00:00,Closed,0
2009-07-02T22:09:08.216000+00:00,Open,14
2009-07-03T22:09:08.216000+00:00,Resolved,52
2009-07-03T22:09:08.216000+00:00,In Progress,1
2009-07-03T22:09:08.216000+00:00,Patch Available,4
2009-07-03T22:09:08.216000+00:00,Reopened,0
2009-07-03T22:09:08.216000+00:00,Closed,0
2009-07-03T22:09:08.216000+00:00,Open,16
2009-07-04T22:09:08.216000+00:00,Resolved,55
2009-07-04T22:09:08.216000+00:00,In Progress,1
2009-07-04T22:09:08.216000+00:00,Patch Available,1
2009-07-04T22:09:08.216000+00:00,Reopened,0
2009-07-04T22:09:08.216000+00:00,Closed,0
2009-07-04T22:09:08.216000+00:00,Open,17
2009-07-05T22:09:08.216000+00:00,Resolved,55
2009-07-05T22:09:08.216000+00:00,In Progress,1
